編號 F0010001A2007_1_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_173_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_174_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_175_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_176_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_177_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_178_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_179_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_18_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_180_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_181_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_182_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_183_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_184_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_185_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_186_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_187_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_188_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_189_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_190_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_191_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_192_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_193_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_194_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_2_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_20_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_21_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_22_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_23_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_24_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_25_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_26_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_27_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_28_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_29_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_3_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_30_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_31_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_32_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_33_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_34_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_35_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_36_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_37_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_38_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_39_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_4_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_40_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_41_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_42_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_43_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_44_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_45_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_46_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_47_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_48_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_49_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_5_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_50_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_51_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_52_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_53_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_54_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_55_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_56_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_57_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_58_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_59_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_6_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_60_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_61_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_62_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_63_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_64_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_65_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_66_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_67_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_68_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_69_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_7_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_70_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_71_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_72_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_73_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_74_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_75_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_76_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_77_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_78_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_79_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_8_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_80_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_81_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_82_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_83_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_84_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_85_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_86_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_87_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_88_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_89_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_9_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_90_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_91_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_92_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_93_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_94_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_95_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_96_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_97_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_98_07 的CER： 1.0000, SER: 1.0000
編號 F0010001A2007_99_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_1_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_10_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_11_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_12_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_13_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_14_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_15_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_17_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_18_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_19_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_2_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_20_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_21_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_22_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_23_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_24_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_25_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_26_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_27_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_28_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_29_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_3_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_30_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_31_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_32_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_33_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_34_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_35_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_36_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_37_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_38_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_39_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_4_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_40_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_41_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_42_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_43_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_44_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_45_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_46_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_47_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_48_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_49_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_5_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_50_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_51_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_52_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_53_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_54_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_55_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_6_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_7_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_8_07 的CER： 1.0000, SER: 1.0000
編號 F0010001D3007_9_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_1_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_10_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_100_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_101_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_102_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_103_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_104_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_105_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_106_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_107_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_108_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_109_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_11_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_110_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_111_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_112_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_113_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_114_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_115_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_116_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_117_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_118_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_119_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_12_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_120_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_121_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_122_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_123_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_124_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_125_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_126_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_127_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_128_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_129_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_13_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_130_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_131_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_132_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_133_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_134_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_135_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_136_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_137_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_138_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_139_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_14_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_140_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_141_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_142_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_143_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_144_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_145_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_146_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_148_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_149_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_15_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_150_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_151_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_152_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_153_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_154_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_155_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_156_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_157_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_158_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_159_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_16_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_160_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_161_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_162_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_163_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_164_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_165_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_166_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_167_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_168_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_169_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_17_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_170_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_171_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_172_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_173_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_174_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_175_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_176_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_177_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_178_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_179_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_18_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_180_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_181_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_182_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_183_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_184_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_185_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_186_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_187_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_188_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_189_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_19_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_190_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_191_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_192_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_193_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_194_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_2_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_20_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_21_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_22_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_23_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_24_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_25_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_26_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_27_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_28_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_29_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_3_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_30_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_31_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_32_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_33_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_34_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_35_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_36_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_37_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_38_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_39_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_4_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_40_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_41_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_42_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_43_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_44_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_45_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_46_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_47_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_48_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_49_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_5_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_50_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_51_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_52_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_53_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_54_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_55_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_56_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_57_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_58_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_59_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_6_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_60_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_61_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_62_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_64_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_65_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_66_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_67_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_68_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_69_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_7_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_70_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_71_07 的CER： 1.0000, SER: 1.0000
編號 F0020001A2003_72_07 的CER： 1.0000, SER: 1.0000
